UID Relation,Relation Name,UID BO From,From,Relationship From properties,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,UID  BO To,To,Relationship To properties,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
32845532-a88f-ea11-8295-06a675516730,,d6bc4925-a88f-ea11-8295-06a675516730,ProspectCampaignAssessment,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,166d8bea-d757-ea11-8289-060c7a9911f6,ProspectCampaign,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
abaaf39e-a4d7-e911-82a8-0667cb2841e8,,1803596c-6675-e911-823e-064d1e9fbc72,CustomerRelationship,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public,aab25f63-a4d7-e911-82a8-0667cb2841e8,CustomerRelationshipLifecyclePhase,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=*,visibility=public
60574e91-5aa6-ea11-829f-063187a0cc58,,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=ProductInCampaign,upper=*,visibility=public,166d8bea-d757-ea11-8289-060c7a9911f6,ProspectCampaign,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
4e83ec62-aa8f-ea11-8295-06a675516730,,758bb043-aa8f-ea11-8295-06a675516730,ProspectCampaignMetric,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,d6bc4925-a88f-ea11-8295-06a675516730,ProspectCampaignAssessment,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
0270e680-5190-ea11-8295-062b57ab2c80,,f3df3b6b-5190-ea11-8295-062b57ab2c80,ProspectCampaignInvolvement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=PartyRole,upper=*,visibility=public,166d8bea-d757-ea11-8289-060c7a9911f6,ProspectCampaign,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
36dd42ca-5da6-ea11-829f-063187a0cc58,,0b3318a5-5da6-ea11-829f-063187a0cc58,ProspectCampaignProcedure,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,1716f2c4-b4a4-e911-8284-06aa98c8c004,ItemInventory,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,"nm=InventoryOf
ConsumableItems",upper=*,visibility=public
ef9cd3c1-5da6-ea11-829f-063187a0cc58,,166d8bea-d757-ea11-8289-060c7a9911f6,ProspectCampaign,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,0b3318a5-5da6-ea11-829f-063187a0cc58,ProspectCampaignProcedure,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
24236df7-60a6-ea11-829f-063187a0cc58,,0b3318a5-5da6-ea11-829f-063187a0cc58,ProspectCampaignProcedure,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,78bd6bdc-60a6-ea11-829f-063187a0cc58,ProspectCampaignProcedureWorkstep,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
7e0f04ff-d757-ea11-8289-060c7a9911f6,,166d8bea-d757-ea11-8289-060c7a9911f6,ProspectCampaign,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,139d0fb3-d757-ea11-8289-060c7a9911f6,Prospect,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=ProspectInCampaign,upper=*,visibility=public
676671b9-e72f-eb11-82d9-06046f4758b7,,7df4c544-9cc9-e911-8296-067806600528,CustomerCase,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
d879b730-2e76-e911-823e-065f1d1f71b2,,6aa1554b-7675-e911-823e-064d1e9fbc72,Analysis,aggregation=shared,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public,231bdf18-2e76-e911-823e-065f1d1f71b2,Algorithm,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
