UID Generalization relation,UID Generalization,Generalization,UID Specialization,Specialization,
a664589e-5fa6-ea11-829f-063187a0cc58,7fa3e892-2b81-e911-823e-06e80039c878,Procedure,0b3318a5-5da6-ea11-829f-063187a0cc58,ProspectCampaignProcedure,
e4cbb0e9-57a6-ea11-829f-063187a0cc58,ea36f45c-1656-e911-8237-060aad038e48,Assessment,d6bc4925-a88f-ea11-8295-06a675516730,ProspectCampaignAssessment,
c70b1f71-59a6-ea11-829f-063187a0cc58,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,f3df3b6b-5190-ea11-8295-062b57ab2c80,ProspectCampaignInvolvement,
676a6338-d857-ea11-8289-060c7a9911f6,4a934e40-a5d7-e911-82a8-0667cb2841e8,Campaign,166d8bea-d757-ea11-8289-060c7a9911f6,ProspectCampaign,
78d942dd-d757-ea11-8289-060c7a9911f6,aab25f63-a4d7-e911-82a8-0667cb2841e8,CustomerRelationshipLifecyclePhase,139d0fb3-d757-ea11-8289-060c7a9911f6,Prospect,
83fb495a-e92f-eb11-82d9-06046f4758b7,80a41510-4da6-ea11-829f-063187a0cc58,RootCauseAnalysis,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,
24e39716-4da6-ea11-829f-063187a0cc58,6aa1554b-7675-e911-823e-064d1e9fbc72,Analysis,80a41510-4da6-ea11-829f-063187a0cc58,RootCauseAnalysis,
3cca224b-9cc9-e911-8296-067806600528,be9acfc4-7880-e911-823e-066c44d66510,Case,7df4c544-9cc9-e911-8296-067806600528,CustomerCase,
e1a5e408-c595-ea11-8295-06710fa33e76,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,b67997da-c495-ea11-8295-06710fa33e76,BrandManagementPlan,
4b0ca774-cb95-ea11-8295-06710fa33e76,97698d8d-6675-e911-823e-064d1e9fbc72,Duty,7966d6b9-ca95-ea11-8295-06710fa33e76,BrandImpactTroubleshooting,
470ca774-cb95-ea11-8295-06710fa33e76,97698d8d-6675-e911-823e-064d1e9fbc72,Duty,b00c5eb3-ca95-ea11-8295-06710fa33e76,BrandAdvice,
9739235e-cf95-ea11-8295-06710fa33e76,ea36f45c-1656-e911-8237-060aad038e48,Assessment,4c2f9452-c995-ea11-8295-06710fa33e76,BrandValueAssessment,
2ae22208-1050-eb11-82e3-06bddbe1afcf,ca197cf7-e497-e911-827a-06d89370a58e,PaymentService,d4c6f0aa-44ca-e911-8296-0635f2119d82,DirectDebitService,
2684f737-1450-eb11-82e3-06bddbe1afcf,c80f2ee6-f097-e911-827a-06d89370a58e,ServiceArrangement,d892e7c5-0f50-eb11-82e3-06bddbe1afcf,DirectDebitArrangement,
92102a18-4b70-eb11-82fd-061e1f234dd5,5708a70e-fd6f-e911-8237-06309b11004c,Transaction,5f0f397b-2a50-eb11-82e3-06bddbe1afcf,DirectDebitTransaction,
047cfc45-50ca-e911-8296-0635f2119d82,852a0fc0-7188-e911-823e-06b09c770f0c,Mandate,6d8fea76-e855-e911-8237-060aad038e48,DirectDebitMandate,
f80d1772-72a4-e911-8284-0690c2b69574,e6304f28-fd60-e911-8237-068e13695e26,PaymentInstruction,ebbe09e1-faa2-e911-8280-06df5c9909ce,DirectDebitInstruction,
343ef068-ae30-eb11-82d9-061c5848f615,0cbfb7fb-5997-e911-823e-065ba593ba6e,Service,ca197cf7-e497-e911-827a-06d89370a58e,PaymentService,
4b1650f6-4970-eb11-82fd-061e1f234dd5,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,1814e5b5-4970-eb11-82fd-061e1f234dd5,DirectDebitMandateInvolvement,
b2a60f3e-b05c-eb11-82e9-065ba105bad3,a58c8a29-5a96-e911-823e-062d75b50cca,FinancialTransaction,416e50ca-af5c-eb11-82e9-065ba105bad3,DepositTransaction,
9d6cba0e-ad5c-eb11-82e9-065ba105bad3,0cbfb7fb-5997-e911-823e-065ba593ba6e,Service,6ecbaa2f-e597-e911-827a-06d89370a58e,DepositService,
fd346c91-5c96-e911-823e-062d75b50cca,c80f2ee6-f097-e911-827a-06d89370a58e,ServiceArrangement,01d64189-5c96-e911-823e-062d75b50cca,DepositServiceArrangement,
1270997b-a4f1-e911-82b5-06f9534b74c8,ba9abd47-c656-e911-8237-06ecaacb4c68,Document,2f325852-a2f1-e911-82b5-06f9534b74c8,PartyCertificate,
a2e39a8c-8357-e911-8237-0645314e65ac,6f53fd37-8257-e911-8237-0645314e65ac,Party,04c123f4-8257-e911-8237-0645314e65ac,Person,
888848f8-f648-ea11-8289-064c9ffef37a,063a0dcf-0561-e911-8237-068e13695e26,Location,d3cfa06d-1248-ea11-8289-062ea3b80f12,TransactionLocation,
19e5ff1e-6a80-e911-823e-061de61e9206,ccbe8f33-c67e-e911-823e-0680d160e494,LocationType,b49e9090-6980-e911-823e-061de61e9206,ObjectLocationClass,
fec00d5a-6f80-e911-823e-061de61e9206,9b1015ee-6e80-e911-823e-061de61e9206,ObjectPartyRoleClass,960a4434-6f80-e911-823e-061de61e9206,ObjecInvolvementLegalType,
3b0f6955-7480-e911-823e-061de61e9206,960a4434-6f80-e911-823e-061de61e9206,ObjecInvolvementLegalType,a43a39c2-7380-e911-823e-061de61e9206,CustodianClass,
1511b226-6a80-e911-823e-061de61e9206,ccbe8f33-c67e-e911-823e-0680d160e494,LocationType,f4dc9305-6a80-e911-823e-061de61e9206,JurisdictionAreaClass,
ff001f1c-6f80-e911-823e-061de61e9206,9bc7af8d-d46f-e911-8237-06309b11004c,PartyRoleType,9b1015ee-6e80-e911-823e-061de61e9206,ObjectPartyRoleClass,
9ba06248-7480-e911-823e-061de61e9206,960a4434-6f80-e911-823e-061de61e9206,ObjecInvolvementLegalType,58452ae3-7380-e911-823e-061de61e9206,InsurerClass,
ad4bdbc2-6f80-e911-823e-061de61e9206,960a4434-6f80-e911-823e-061de61e9206,ObjecInvolvementLegalType,40d25683-6f80-e911-823e-061de61e9206,ObjectOwnerClass,
cdb64d58-7680-e911-823e-061de61e9206,a09bbcdb-6c80-e911-823e-061de61e9206,DocumentType,66e3c041-7680-e911-823e-061de61e9206,TitleClass,
52b58e6b-7680-e911-823e-061de61e9206,a09bbcdb-6c80-e911-823e-061de61e9206,DocumentType,67e3c041-7680-e911-823e-061de61e9206,ShareClass,
24be01b3-9380-e911-823e-061de61e9206,a2167574-8f80-e911-823e-061de61e9206,AdministrativePlan,e127f024-9380-e911-823e-061de61e9206,CollateralAssetAdministrativePlan,
9253df72-2fd9-e911-82a8-0656582483e6,a09bbcdb-6c80-e911-823e-061de61e9206,DocumentType,68e3c041-7680-e911-823e-061de61e9206,ContractClass,
dc57053b-8380-e911-823e-061de61e9206,a09bbcdb-6c80-e911-823e-061de61e9206,DocumentType,7f42b319-8380-e911-823e-061de61e9206,CertificateClass,
85fc353d-756a-e911-8237-061b75d0d318,e00fb730-fd60-e911-8237-068e13695e26,PaymentTransaction,18be1517-756a-e911-8237-061b75d0d318,CardPaymentTransaction,
cf75b5c6-07b5-e911-828c-06363e70c8fa,f5145a15-138d-e911-823e-067b7da9d714,Session,baeb22b8-07b5-e911-828c-06363e70c8fa,ECommerceGatewaySession,
9a70fa1b-0861-e911-8237-068e13695e26,0263db4b-0761-e911-8237-068e13695e26,Device,f7aeaa41-0761-e911-8237-068e13695e26,PaymentCard,
9af2ada8-07b5-e911-828c-06363e70c8fa,6fd7342a-138d-e911-823e-067b7da9d714,System,a8799b93-07b5-e911-828c-06363e70c8fa,ECommerceGateway,
01274833-15b5-e911-828c-06363e70c8fa,ca197cf7-e497-e911-827a-06d89370a58e,PaymentService,075e9516-f560-e911-8237-068e13695e26,CardPaymentService,
d8d1cf56-836a-e911-8237-061b75d0d318,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,9c3b00ce-7a6a-e911-8237-061b75d0d318,CardPaymentInvolvement,
317ae7cd-20b5-e911-828c-06363e70c8fa,11b0a31a-0991-e911-823e-06f3e7d1f9c0,Authentication,9a76e71a-20b5-e911-828c-06363e70c8fa,CardPaymentAuthentication,
b0b0b4a0-20b5-e911-828c-06363e70c8fa,df4e3cdd-1fb5-e911-828c-06363e70c8fa,Authorisation,9d176f0a-20b5-e911-828c-06363e70c8fa,CardPaymentAuthorisation,
4afd102d-816c-eb11-82f6-06a4f8a91e0d,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,232d759f-ea28-eb11-82d9-06a44deb104b,CashInventoryManagementAgreement,
17e80369-bb28-eb11-82d9-06a44deb104b,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement,a82a131b-2228-eb11-82d4-06b1e967d8ed,CashAllocationArrangement,
5649479b-816c-eb11-82f6-06a4f8a91e0d,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,f3ca6cac-1f28-eb11-82d4-06b1e967d8ed,CashAllocationRequest,
5a49479b-816c-eb11-82f6-06a4f8a91e0d,5708a70e-fd6f-e911-8237-06309b11004c,Transaction,abb24011-631f-eb11-82d0-06351b9f7777,CashAllocation,
6cec6e8b-7292-e911-823e-0616b0d596e4,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,f0b986ab-7192-e911-823e-0616b0d596e4,FinancialInstruction,
f808ed77-af55-eb11-82e3-06afd984332d,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,35bb47d6-319f-e911-827a-06f9569e2544,InstructionInvolvement,
7fa529a6-12ab-ea11-829f-0691f30ba14c,5708a70e-fd6f-e911-8237-06309b11004c,Transaction,30cd2a06-86a9-ea11-829f-06478228ed28,SecuritiesTransaction,
44809755-13ab-ea11-829f-0691f30ba14c,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,d24985c1-11ab-ea11-829f-0691f30ba14c,SecuritiesOrder,
4988630c-1fab-ea11-829f-0691f30ba14c,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,254f866a-13ab-ea11-829f-0691f30ba14c,SecuritiesOrderInvolvement,
66508be6-4dfa-e911-82bd-06e507138132,6a51e05c-2ef7-e911-82bd-06554362bd22,RemunerationArrangement,07076ed9-4dfa-e911-82bd-06e507138132,IncentiveArrangement,
58ba7155-65fa-e911-82bd-060c1aa554c0,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,94885b0f-22f7-e911-82bd-06554362bd22,Employee Agreement,
6a508be6-4dfa-e911-82bd-06e507138132,6a51e05c-2ef7-e911-82bd-06554362bd22,RemunerationArrangement,7fe6c8c1-4dfa-e911-82bd-06e507138132,CommissionArrangement,
9a9a3ab9-4cfa-e911-82bd-06e507138132,6a51e05c-2ef7-e911-82bd-06554362bd22,RemunerationArrangement,bcfa91dd-2ff7-e911-82bd-06554362bd22,BenefitArrangement,
57fa85a4-7d00-ea11-82c2-06bea3a5b676,7314f250-f5a9-e911-8288-06812ee60d2a,MoneyTransferTransaction,e7ee84d3-73fa-e911-82bd-060c1aa554c0,EmployeeSalary,
28ac1222-41fa-e911-82bd-06e507138132,fa6490a1-8957-e911-8237-0645314e65ac,PartyRelationship,c412fec5-26f7-e911-82bd-06554362bd22,EmployeeRelationship,
3c0c7d27-4afa-e911-82bd-06e507138132,5b5afda9-27f7-e911-82bd-06554362bd22,EmployeeRelationshipLifecyclePhase,47bc25fe-49fa-e911-82bd-06e507138132,RecruitmentLifecyclePhase,
18ebcbb5-5ffa-e911-82bd-060c1aa554c0,5b5afda9-27f7-e911-82bd-06554362bd22,EmployeeRelationshipLifecyclePhase,2ad4259a-5ffa-e911-82bd-060c1aa554c0,RetentionLifecyclePhase,
e71d4a50-41fa-e911-82bd-06e507138132,5bec4388-9dd7-e911-82a8-0667cb2841e8,PartyRelationshipLifecyclePhase,5b5afda9-27f7-e911-82bd-06554362bd22,EmployeeRelationshipLifecyclePhase,
f5abe767-02fb-e911-82bd-067729125860,2ad4259a-5ffa-e911-82bd-060c1aa554c0,RetentionLifecyclePhase,80d9294d-02fb-e911-82bd-067729125860,TrainingLifecyclePhase,
f31bcdf4-5bfa-e911-82bd-061ae500ecdc,5b5afda9-27f7-e911-82bd-06554362bd22,EmployeeRelationshipLifecyclePhase,a15e35b9-5bfa-e911-82bd-061ae500ecdc,OnboardingLifecyclePhase,
3e30ceb4-5dfa-e911-82bd-061ae500ecdc,5b5afda9-27f7-e911-82bd-06554362bd22,EmployeeRelationshipLifecyclePhase,8d2ecfa9-5dfa-e911-82bd-061ae500ecdc,DevelopmentLifecyclePhase,
f4672548-6efa-e911-82bd-060c1aa554c0,a15e35b9-5bfa-e911-82bd-061ae500ecdc,OnboardingLifecyclePhase,021de562-50fa-e911-82bd-06e507138132,AssignmentLifecyclePhase,
53807f12-61fa-e911-82bd-060c1aa554c0,5b5afda9-27f7-e911-82bd-06554362bd22,EmployeeRelationshipLifecyclePhase,5139c7f9-60fa-e911-82bd-060c1aa554c0,OffboardingLifecyclePhase,
dbc06651-62fa-e911-82bd-060c1aa554c0,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,da39738d-3efa-e911-82bd-06e507138132,EmployeeRelationshipInvolvement,
e30d68a5-12ab-e911-828c-0605e339c9ac,e6304f28-fd60-e911-8237-068e13695e26,PaymentInstruction,63628987-10ab-e911-828c-0605e339c9ac,WithdrawalInstruction,
9c8210c1-06aa-e911-8288-06812ee60d2a,e6304f28-fd60-e911-8237-068e13695e26,PaymentInstruction,cd2b1465-06aa-e911-8288-06812ee60d2a,StandingOrderInstruction,
023a3898-8890-eb11-8310-06a4d64a8775,823053bb-a486-e911-823e-062687e6a904,ProductFeature,6eb0ff6b-8890-eb11-8310-06a4d64a8775,...,
56d7aa92-f26f-e911-8237-06309b11004c,9fe05cf9-fd60-e911-8237-068e13695e26,Account,86b2bbe0-f16f-e911-8237-06309b11004c,VostroAccount,
25a52582-ff60-e911-8237-068e13695e26,524614a8-f560-e911-8237-068e13695e26,CardPaymentAgreementInvolvement,7f242e41-f960-e911-8237-068e13695e26,CardIssuer,
761a1fc0-7d56-eb11-82e3-06d64c037e3d,30a4d16d-6080-e911-823e-061de61e9206,Asset,6e02f897-b6a4-ea11-829f-0660fb1fa966,FinancialAsset,
5ee3737a-322f-eb11-82d9-0614284e8633,7314f250-f5a9-e911-8288-06812ee60d2a,MoneyTransferTransaction,3f5735c4-2f2f-eb11-82d9-0614284e8633,CardPaymentCaptureTransaction,
d1c1348f-7b6a-e911-8237-061b75d0d318,9c3b00ce-7a6a-e911-8237-061b75d0d318,CardPaymentInvolvement,d772d900-f860-e911-8237-068e13695e26,CardHolder,
9729b4e0-2376-e911-823e-065f1d1f71b2,a7377090-2176-e911-823e-065f1d1f71b2,CustomerProductProfileType,9628ae2c-2376-e911-823e-065f1d1f71b2,CustomerProductSaleProfileClass,
4347d1c9-717c-e911-823e-06546fdb7546,c4c0b912-717c-e911-823e-06546fdb7546,Object Type,e7d7ddb8-717c-e911-823e-06546fdb7546,Object Type B,
9e7f15f1-eb9c-e911-827a-06330851e5be,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,275f8937-e89c-e911-827a-06330851e5be,PaymentServiceProvider,
e5d91750-2376-e911-823e-065f1d1f71b2,a7377090-2176-e911-823e-065f1d1f71b2,CustomerProductProfileType,6a2233cf-2276-e911-823e-065f1d1f71b2,CustomerProductCoverageProfileClass,
2e724b8c-34d6-e911-8296-06c6ee6741dc,eecc7a97-33d6-e911-8296-06c6ee6741dc,TermDepositAccountArrangement,01d64189-5c96-e911-823e-062d75b50cca,DepositServiceArrangement,
be7f7e9d-12ab-e911-828c-0605e339c9ac,e6304f28-fd60-e911-8237-068e13695e26,PaymentInstruction,7dfa7ee3-10ab-e911-828c-0605e339c9ac,DepositInstruction,
