UML Type,UID Business Object,Business Object,UID Feature,Feature,Description,UID Data Type,Data Type,UID Owner,Owner Element,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Class,5e483450-e92f-eb11-82d9-06046f4758b7,CustomerCaseRootCauseAnalysis,,,A RootCauseAnalysis of CustomerCase,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,d892e7c5-0f50-eb11-82e3-06bddbe1afcf,DirectDebitArrangement,,,A ServiceArrangement within a DirectDebitMandate authorising the creditor to instruct the bank of deptor to pay a debt specified in the third party agreement on due date (this can be one time or recurring) ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,5f0f397b-2a50-eb11-82e3-06bddbe1afcf,DirectDebitTransaction,,,,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,1814e5b5-4970-eb11-82fd-061e1f234dd5,DirectDebitMandateInvolvement,,,A PartyRole involved in a DirectDebitMandateInvolvement,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,f4ff74b0-ae5c-eb11-82e9-065ba105bad3,DepositServiceModality,,,"The way in which a deposit service can happen.
",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,4b2f1a29-af5c-eb11-82e9-065ba105bad3,DepositServiceArrangementModality,,,A selection of deposit service modalities for a specific deposit service arrangement in a specific agreemen,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,416e50ca-af5c-eb11-82e9-065ba105bad3,DepositTransaction,,,A financial transaction that is the result of the fulfilment of a deposit service arrangement,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,fc943742-a1c5-e911-8296-06227606fcb6,CardPOSNetwork,,,A network for handling Card POS.,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,f4caa464-5e7d-e911-823e-069ad1a2e648,CustomerCreditRatingMeasurement,,,"The application of a measurement to assess the overall credibility of a customer. 

",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,a633adb0-78d1-e911-8296-06e952cbc5d0,MarketAnalysisViewpoint,,,A manner of looking at a market in view of Market analysis,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,a633adb0-78d1-e911-8296-06e952cbc5d0,MarketAnalysisViewpoint,f8c4d368-7cd1-e911-8296-06e952cbc5d0,MarketAnalysisviewpointType,Classification of the market research viewpoint.,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,a633adb0-78d1-e911-8296-06e952cbc5d0,MarketAnalysisViewpoint,3655ba86-7cd1-e911-8296-06e952cbc5d0,MarketAnalysisViewpointDescription,Description of the market research viewpoint.,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,6a9a554a-04ab-ea11-829f-0691f30ba14c,TaxOptimizationAdvisoryService,,,A financial advisory service that provides tax (and compliance) related advice for product and service optimization,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,7966d6b9-ca95-ea11-8295-06710fa33e76,BrandImpactTroubleshooting,,,Assess brand impact and define and execute mitigating actions for production issues that expose the brand,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,ecb3c959-0ba7-e911-8288-068d1795c1bc,RepaymentArrangement,,,Arrangement of paying back money previously borrowed from a lender. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,ecb3c959-0ba7-e911-8288-068d1795c1bc,RepaymentArrangement,1e144475-0da7-e911-8288-068d1795c1bc,RepaymentType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,6e02f897-b6a4-ea11-829f-0660fb1fa966,FinancialAsset,,,"A financial asset is an asset whose value comes from a contractual claim. These assets are frequently traded. 
https://www.accountingtools.com/articles/2017/5/9/financial-asset",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,6e02f897-b6a4-ea11-829f-0660fb1fa966,FinancialAsset,f7e658cf-baa4-ea11-829f-0660fb1fa966,FinancialAssetType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,bf36fcbc-d54c-ea11-8289-062dfdfaca58,ProductRequirement,,,A need of a product/service or a class of product/service. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,bf36fcbc-d54c-ea11-8289-062dfdfaca58,ProductRequirement,49def8bb-d84c-ea11-8289-062dfdfaca58,ProductRequirementType,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=RequirementTypeValues,isType=58d77ae1-d84c-ea11-8289-062dfdfaca58,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
