UID Class Diagram,UID Relation,UID BO From,BO From,UID BO To,BO To
4c20c684-2a02-eb11-82be-0632752cdf09,334c71af-6365-eb11-82ee-06b6c49a40d9,357051a9-6065-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationship,12187ca8-6365-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipManagementPlan
4c20c684-2a02-eb11-82be-0632752cdf09,80b256eb-6365-eb11-82ee-06b6c49a40d9,12187ca8-6365-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipManagementPlan,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan
4c20c684-2a02-eb11-82be-0632752cdf09,2c6fef72-6565-eb11-82ee-06b6c49a40d9,2561d10c-6565-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipInstruction,73cd2518-6565-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipTransaction
4c20c684-2a02-eb11-82be-0632752cdf09,4b875f0c-6365-eb11-82ee-06b6c49a40d9,8046cd2e-6165-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipInvolvement,6f53fd37-8257-e911-8237-0645314e65ac,Party
4c20c684-2a02-eb11-82be-0632752cdf09,f2b3b1d1-6565-eb11-82ee-06b6c49a40d9,dc7e3011-6465-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipArrangement,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
4c20c684-2a02-eb11-82be-0632752cdf09,4503bd81-8257-e911-8237-0645314e65ac,6f53fd37-8257-e911-8237-0645314e65ac,Party,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole
4c20c684-2a02-eb11-82be-0632752cdf09,73656a24-6565-eb11-82ee-06b6c49a40d9,dc7e3011-6465-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipArrangement,2561d10c-6565-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipInstruction
4c20c684-2a02-eb11-82be-0632752cdf09,4f24dbea-6465-eb11-82ee-06b6c49a40d9,357051a9-6065-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationship,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement
4c20c684-2a02-eb11-82be-0632752cdf09,f05439be-6565-eb11-82ee-06b6c49a40d9,73cd2518-6565-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipTransaction,5708a70e-fd6f-e911-8237-06309b11004c,Transaction
4c20c684-2a02-eb11-82be-0632752cdf09,81bfc136-6165-eb11-82ee-06b6c49a40d9,357051a9-6065-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationship,8046cd2e-6165-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipInvolvement
4c20c684-2a02-eb11-82be-0632752cdf09,83e8e4c4-6675-e911-823e-064d1e9fbc72,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,97698d8d-6675-e911-823e-064d1e9fbc72,Duty
4c20c684-2a02-eb11-82be-0632752cdf09,bd427a1c-6465-eb11-82ee-06b6c49a40d9,357051a9-6065-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationship,dc7e3011-6465-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipArrangement
4c20c684-2a02-eb11-82be-0632752cdf09,ec5439be-6565-eb11-82ee-06b6c49a40d9,2561d10c-6565-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipInstruction,7effad6e-9965-e911-8237-06eba4258fe0,Instruction
264c59d6-2002-eb11-82be-0632752cdf09,52713aa3-db3a-eb11-82e3-06a412e5ead5,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement
264c59d6-2002-eb11-82be-0632752cdf09,00c4838a-8056-eb11-82e3-06d64c037e3d,d5fe9f6e-7b80-e911-823e-061de61e9206,AssetValuation,ea36f45c-1656-e911-8237-060aad038e48,Assessment
264c59d6-2002-eb11-82be-0632752cdf09,e4997e6f-e13a-eb11-82e3-06a412e5ead5,30a4d16d-6080-e911-823e-061de61e9206,Asset,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement
264c59d6-2002-eb11-82be-0632752cdf09,972e2303-7e56-eb11-82e3-06d64c037e3d,30a4d16d-6080-e911-823e-061de61e9206,Asset,d5fe9f6e-7b80-e911-823e-061de61e9206,AssetValuation
264c59d6-2002-eb11-82be-0632752cdf09,d29fc92c-9555-eb11-82e3-06afd984332d,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
264c59d6-2002-eb11-82be-0632752cdf09,6069e61a-c480-e911-823e-065e8061d7e6,a2167574-8f80-e911-823e-061de61e9206,AdministrativePlan,23cc4801-c480-e911-823e-065e8061d7e6,Routine
264c59d6-2002-eb11-82be-0632752cdf09,ba4b7ff8-7b56-eb11-82e3-06d64c037e3d,30a4d16d-6080-e911-823e-061de61e9206,Asset,d2aaa5ee-7b56-eb11-82e3-06d64c037e3d,LeasingItemAdministrativePlan
264c59d6-2002-eb11-82be-0632752cdf09,5a2d22eb-799d-e911-827a-069b88dafb42,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,5708a70e-fd6f-e911-8237-06309b11004c,Transaction
264c59d6-2002-eb11-82be-0632752cdf09,116a5f0c-7c56-eb11-82e3-06d64c037e3d,d2aaa5ee-7b56-eb11-82e3-06d64c037e3d,LeasingItemAdministrativePlan,a2167574-8f80-e911-823e-061de61e9206,AdministrativePlan
264c59d6-2002-eb11-82be-0632752cdf09,a3bb9935-a959-eb11-82e3-069263446f67,3914dd1c-a959-eb11-82e3-069263446f67,LeasingItemArrangement,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement
264c59d6-2002-eb11-82be-0632752cdf09,3c023fcf-b559-eb11-82e3-069263446f67,efc5b4c1-ab59-eb11-82e3-069263446f67,LeaseInstruction,7effad6e-9965-e911-8237-06eba4258fe0,Instruction
264c59d6-2002-eb11-82be-0632752cdf09,f5e1d9dc-0a68-e911-8237-06dd5e24f7bc,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
264c59d6-2002-eb11-82be-0632752cdf09,b985bf12-e73a-eb11-82e3-06a412e5ead5,235adec0-d53a-eb11-82e3-06a412e5ead5,LeaseAgreement,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement
264c59d6-2002-eb11-82be-0632752cdf09,c5e97cbd-799d-e911-827a-069b88dafb42,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
264c59d6-2002-eb11-82be-0632752cdf09,2f743c55-0b55-eb11-82e3-06796197f98f,efc5b4c1-ab59-eb11-82e3-069263446f67,LeaseInstruction,dfcec89b-db3a-eb11-82e3-06a412e5ead5,LeaseArrangement
264c59d6-2002-eb11-82be-0632752cdf09,851d63d5-a959-eb11-82e3-069263446f67,30a4d16d-6080-e911-823e-061de61e9206,Asset,3914dd1c-a959-eb11-82e3-069263446f67,LeasingItemArrangement
264c59d6-2002-eb11-82be-0632752cdf09,927e5a4c-1055-eb11-82e3-06796197f98f,430f3a3b-0b55-eb11-82e3-06796197f98f,LeaseTransaction,5708a70e-fd6f-e911-8237-06309b11004c,Transaction
