UID Class Diagram,Diagram Type,vBusiness Area,vBusiness Domain,Service Domain,Class Diagram,Referenced Element,Referenced Element Type,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,"Leasing Item Administration BOM Diagram, Assessment Helper Diagram, Transaction Helper Diagram, Instruction Helper Diagram, Leasing BOM Diagram, Arrangement Helper Diagram, Agreement Helper Diagram",referred class diagrams,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,Agreement,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,LeaseAgreement,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,AdministrativePlan,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,AssetValuation,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,Routine,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,Asset,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,Transaction,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,LeaseArrangement,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,Arrangement,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,Instruction,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,LeasingItemAdministrativePlan,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,LeasingItemArrangement,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,Assessment,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,LeaseInstruction,Class,
264c59d6-2002-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing Item Administration,Leasing Item Administration BOM Diagram,LeaseTransaction,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,"Case Root Cause Analysis BOM Diagram, Analysis Helper Diagram, Customer Case Management BOM Diagram, Fraud Resolution BOM Diagram, Customer Case BOM Diagram, Servicing Activity Analysis BOM Diagram, Case Helper Diagram",referred class diagrams,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,Analysis,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,FraudCaseRootCauseAnalysis,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,CustomerCaseRootCauseAnalysis,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,CustomerCase,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,Case,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,Algorithm,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,RootCauseAnalysis,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,CustomerCaseResolution,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,ServicingRootCauseAnalysis,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,ServicingEvent,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,ProductionTransaction,Class,
0bde4cb0-73ff-ea11-82be-06dd926e0b07,SD BOM diagram,Business Development,Product Management,Case Root Cause Analysis,Case Root Cause Analysis BOM Diagram,ServicingEventLog,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,"Leasing BOM Diagram, Agreement Helper Diagram, Arrangement Helper Diagram, Collateral Allocation Management BOM Diagram, Party Helper Diagram, Account Helper Diagram, Financial Instrument Helper Diagram, Device Helper Diagram, Corporate Action Helper Diagram, Deposit Helper Diagram, Interest Helper Diagram, Collateral Allocation Management BOM Diagram, Fee Helper Diagram, Lien Helper Diagram, Sweep Helper Diagram, Withdraw Helper Diagram, Payment Helper Diagram, Instruction Helper Diagram, Banking Product Helper Diagram, Leasing Item Administration BOM Diagram, Transaction Helper Diagram",referred class diagrams,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,AccountEntry,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,Party,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,CollateralAgreement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LeaseArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,Account,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LeaseAgreement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LeaseAgreementInvolvementTypeValues,Enumeration,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LeaseAgreementInvolvement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,Agreement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,PartyRole,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,Arrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LeaseTransaction,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LeasingProduct,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,FeeArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,InterestArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,BankingProduct,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LienArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,ProductFeature,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,SweepArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,WithdrawalServiceArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,DepositServiceArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,PaymentServiceArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,CollateralAssetArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,DeviceArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,CorporateActionArrangement,Class,
7dc4433e-2102-eb11-82be-0632752cdf09,SD BOM diagram,Products,Loans and Deposits,Leasing,Leasing BOM Diagram,LeasingItemArrangement,Class,
