UID Class Diagram,Class Diagram,UID BO,Referenced Element,Dimension,Positions,Colour,
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,"400.000, 180.000","420.000, 260.000","234, 232, 232",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,357051a9-6065-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationship,"523.000, 180.000","1200.000, 940.000","255, 255, 255",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,6f53fd37-8257-e911-8237-0645314e65ac,Party,"400.000, 180.000","420.000, 580.000","234, 232, 232",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,8046cd2e-6165-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipInvolvement,"704.000, 180.000","220.000, 940.000","255, 255, 255",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,a03dec86-6675-e911-823e-064d1e9fbc72,ManagementPlan,"400.000, 180.000","2040.000, 540.000","255, 255, 255",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,"400.000, 180.000","1261.500, 560.000","234, 232, 232",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,73cd2518-6565-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipTransaction,"701.000, 180.000","1200.000, 2080.000","255, 255, 255",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,2561d10c-6565-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipInstruction,"682.000, 180.000","1200.000, 1760.000","255, 255, 255",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,97698d8d-6675-e911-823e-064d1e9fbc72,Duty,"400.000, 180.000","2880.000, 540.000","255, 255, 255",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,12187ca8-6365-eb11-82ee-06b6c49a40d9,RegulatoryAuthorityRelationshipManagementPlan,"787.000, 180.000","1980.000, 940.000","255, 255, 255",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,"400.000, 180.000","560.000, 1740.000","234, 232, 232",
4c20c684-2a02-eb11-82be-0632752cdf09,Regulatory And Legal Authority BOM Diagram,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement,"400.000, 180.000","560.000, 1360.000","234, 232, 232",
